IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
170649,04/12/2023,2101583,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Wakula North Sub-location,Kiwari A Village,1,,,0,0,0,1,,,,2,,,,0,0,4,4,5,3,2,0,2,1
20891,03/06/2023,1020394,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,0,0,,,,1,,,,0,0,1,1,2,1,2,0,1,0
160834,04/12/2023,2020657,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,0,,,,1,,,,0,0,5,2,6,2,4,0,1,0
336241,04/12/2023,2091604,Homa Bay County,Suba South Sub-County,Ruma Kaksingiri East Ward,Nyadenda Sub-location,Kingenyo Village (Nyadenda Sub-location),1,,,0,0,0,0,,,,0,,,,0,,1,1,,0,2,0,0,
20871,03/06/2023,1020392,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,0,0,,,,1,,,,0,0,2,2,1,0,1,0,1,0
14370,03/06/2023,1020384,Migory County,Awendo Sub-County,South Sakwa Ward,Alego West Sub-location,Akoko A Village (Alego West Sub-location),1,,,,,1,0,,,,2,,,,0,0,8,8,4,2,2,0,2,1
181023,04/12/2023,2030830,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Rachar Village,1,,,0,0,0,1,,,,1,,,,0,0,3,3,3,1,2,0,1,0
78643,3/17/2023,1050635,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Mitangwe Village,1,,,,,0,1,,,,2,,,,0,0,3,3,5,3,2,0,2,1
146845,03/06/2023,1070879,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 1B Sub-location,Nyandwat Village,1,,,,,0,0,,,,0,,,,1,,2,2,,0,1,0,0,
279333,04/12/2023,2061300,Homa Bay County,Rachuonyo South Sub-County,Central Kasipul Ward,North Kachien Sub-location,Kaluoch Village (North Kachien Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,0,1,0,1,0
94200,03/06/2023,1060792,Migory County,Suna West Sub-County,Wasimbete Ward,Kopanga Sub-location,Boya Village (Kopanga Sub-location),1,,,,,0,0,,,,0,,,,0,,2,2,,2,2,0,0,
23818,3/17/2023,1020402,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kabongo Village (Kamresi Sub-location),1,,,,,0,1,,,,0,,,,0,,3,3,,3,2,1,0,
6515,03/06/2023,1020341,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Soi Village,1,,,,,1,0,,,,2,,,,0,0,4,2,4,4,1,0,2,1
146900,03/06/2023,1070871,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 1B Sub-location,Nyandwat Village,1,,,,,0,0,,,,0,,,,0,,3,2,,0,1,0,0,
369907,04/12/2023,2030925,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kobita  Sub-location,Gheto Village,1,,,0,0,1,1,,,,2,,,,0,0,1,1,4,2,2,0,2,2
164086,04/12/2023,2020685,Homa Bay County,Homabay Township Sub-County,Arujo Ward,Arujo Sub-location,Ruga South Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
52696,03/06/2023,1030428,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Kabuto B Village,1,,,,,0,0,,,,1,,,,0,0,3,2,3,0,3,0,1,0
147745,04/12/2023,2020653,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Kobwana A Village,1,,,0,0,0,0,,,,2,,,,1,0,4,4,2,1,1,0,2,0
234361,04/12/2023,2041034,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kodhoch East Sub-location,Kasala B Village,1,,,0,0,1,1,,,,1,,,,0,0,1,1,5,1,4,0,1,2
241506,04/12/2023,2051203,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,0,1,,,,4,,,,0,0,3,2,7,4,3,0,4,1
36103,03/06/2023,1030535,Migory County,Nyatike Sub-County,Kaler Ward,Bande Sub-location,Aongedhiang' 'B2' Village,1,,,,,0,1,,,,1,,,,0,0,1,1,3,2,3,0,1,1
180920,04/12/2023,2030819,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Yugni Village,1,,,0,0,1,0,,,,2,,,,0,0,1,1,3,2,2,0,2,1
336237,04/12/2023,2091603,Homa Bay County,Suba South Sub-County,Ruma Kaksingiri East Ward,Nyadenda Sub-location,Kingenyo Village (Nyadenda Sub-location),1,,,0,0,0,0,,,,2,,,,0,0,5,3,3,3,0,0,2,0
33632,03/06/2023,1030495,Migory County,Nyatike Sub-County,Kachieng Ward,Gunga Sub-location,Orore Village (Gunga Sub-location),1,,,,,0,0,,,,0,,,,0,,3,3,,3,1,0,0,
226941,04/12/2023,2040961,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kowidi Sub-location (Kabondo East Ward,Kamollo A Village (Kowidi Sub-location),1,,,0,0,1,1,,,,1,,,,1,0,4,4,2,2,2,0,1,2
269312,4/18/2023,2051138,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya west Sub-location,Kabonyo/Kachieng Village,1,,,0,0,1,1,,,,1,,,,0,0,3,2,3,5,3,0,1,1
170661,04/12/2023,2101586,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Wakula North Sub-location,Kiwari A Village,1,,,0,0,0,3,,,,4,,,,1,0,3,3,10,2,5,0,4,3
259705,4/18/2023,2051269,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koredo Sub-location,Nyanyongo A Village,1,,,0,0,2,0,,,,0,,,,0,,3,3,,3,1,0,0,
126689,3/17/2023,1070935,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Ongora Village (Komenya Sub-location),1,,,,,0,0,,,,1,,,,0,0,2,2,3,3,0,0,1,0
537,3/17/2023,1020308,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Kindu B Village,1,,,,,0,1,,,,2,,,,1,0,3,3,4,2,2,0,2,1
147462,04/12/2023,2020634,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Magare Samunyi Village,0,,5. Missed spray appointment,0,0,,,,,,2,4,2,0,0,0,2,,0,,,,2,0
372419,04/12/2023,2030796,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Karading Sub-location,Wirakuom Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,2,2,2,0,1,0
170654,04/12/2023,2101586,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Wakula North Sub-location,Kiwari A Village,1,,,0,0,0,1,,,,3,,,,1,0,4,4,3,5,5,0,3,3
328248,4/18/2023,2071490,Homa Bay County,Rangwe Sub-County,West Gem Ward,Genga A Sub-location,Kakremba Village (Genga Sub-location),1,,,0,0,1,1,,,,1,,,,1,0,4,4,3,1,1,0,1,2
316296,4/18/2023,2071429,Homa Bay County,Rangwe Sub-County,Kagan Ward,Komenya  Sub-location,Mado Village,1,,,0,0,0,1,,,,1,,,,0,0,3,3,2,2,2,0,1,1
252795,04/12/2023,2051199,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,Kotieno  Sub-location,Bware A Village,1,,,0,0,0,0,,,,0,,,,1,,1,1,,1,2,0,0,
249656,4/18/2023,2051090,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kamenya Central  Sub-location,Nyalik A Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,2,1,1,0,1,0
113639,3/17/2023,1071007,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Kawere 2b Sub-location,Oyuma Village,0,,4. Refused,0,0,,,,,,2,2,1,0,0,0,3,,3,,,,2,0
134301,3/17/2023,1070846,Migory County,Uriri Sub-County,South Kanyamkago Ward,Kamsaki Sub-location,Kamsaki A Village,1,,,,,0,0,,,,2,,,,0,0,2,2,2,4,4,0,2,0
248778,04/12/2023,2051104,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Ongang A Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,0,2,0,0,
113395,3/17/2023,1070999,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Nyaobe Sub-location,Kamakanga 1 Village,1,,,,,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
225469,04/12/2023,2041077,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,0,2,,,,3,,,,0,0,3,3,5,4,3,0,3,2
266639,4/18/2023,2051273,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koredo Sub-location,Nyanyongo A Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,1,0,1,0,1,0
324139,4/18/2023,2071468,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kanam Sub-location,Kanyandiek Village,1,,,0,0,0,0,,,,5,,,,1,0,12,12,5,2,3,0,5,0
20852,03/06/2023,1020391,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,1,0,,,,0,,,,0,,2,2,,2,1,0,0,
23753,3/17/2023,1020396,Migory County,Awendo Sub-County,West Sakwa Ward,Opoya Sub-location,Kabuora Village,0,,1. Sick,0,0,,,,,,1,2,0,0,0,0,3,,1,,,,1,0
6587,03/06/2023,1020350,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Obuya Village (Kakmasia Sub-location),1,,,,,0,0,,,,6,,,,1,0,2,2,1,0,1,0,6,0
233424,04/12/2023,2041021,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Miriu Sub-location,Kakolo Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,2,2,2,0,2,0
234183,04/12/2023,2041039,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kodhoch East Sub-location,Kasala A Village,1,,,0,0,1,1,,,,3,,,,0,0,4,4,5,2,3,0,3,2
108213,3/17/2023,1060719,Migory County,Suna West Sub-County,Wiga Ward,God Kwer Sub-location,Sibuoche A Village (God Kwer Sub-location),1,,,,,1,1,,,,1,,,,1,0,2,2,3,1,2,0,1,2
188282,04/12/2023,2030748,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Rachar Sub-location,Munga Village,0,,6. Other,0,1,,,,,,2,2,3,0,0,0,2,,5,,,,2,1
243458,04/12/2023,2051215,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kodede/Kamolo A Village,1,,,0,0,0,0,,,,2,,,,0,2,2,2,3,3,1,2,2,0
180103,04/12/2023,2030832,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Upper Kayambo Sub-location,Ndisi C Village,1,,,0,0,0,0,,,,1,,,,0,1,3,2,2,1,1,1,1,0
81286,03/06/2023,1050617,Migory County,Suna East Sub-County,Suna Central Ward,Wasweta I Sub-location,Kanguka Village,1,,,,,1,1,,,,3,,,,0,0,4,4,7,4,3,0,3,2
24021,3/17/2023,1020406,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kaudha Village,1,,,,,0,1,,,,0,,,,1,,4,4,,5,2,0,0,
74967,03/06/2023,1050635,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Aredha Village,1,,,,,0,0,,,,1,,,,0,1,3,2,4,2,3,1,1,0
20877,03/06/2023,1020396,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
121896,03/06/2023,1070934,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Othoro Village,1,,,,,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
233414,04/12/2023,2041020,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Miriu Sub-location,Kakolo Village,1,,,0,0,0,1,,,,2,,,,1,0,2,2,4,3,1,0,2,1
75173,03/06/2023,1050642,Migory County,Suna East Sub-County,Kwa Ward,Lwanda Asande Sub-location,Thidhna Rural Village,1,,,,,1,1,,,,2,,,,0,0,4,3,4,3,6,0,2,4
233300,04/12/2023,2041028,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Miriu Sub-location,Kariany Kamondi A Village,1,,,0,0,0,2,,,,1,,,,0,0,3,3,3,1,3,0,1,2
147338,03/06/2023,1070912,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Gogo Village (Kajulu 2 Sub-location),1,,,,,0,0,,,,3,,,,0,0,2,2,3,3,0,0,3,0
273415,04/12/2023,2051148,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Kotolo/Kamayo Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,2,2,0,0,1,0
63974,3/17/2023,1050696,Migory County,Suna East Sub-County,God Jope Ward,Manyatta Sub-location,Warao B Village,1,,,,,0,0,,,,1,,,,1,0,2,2,3,3,2,0,1,0
233328,04/12/2023,2041026,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Miriu Sub-location,Kariany Kamondi A Village,1,,,0,0,0,0,,,,1,,,,0,,3,3,,1,0,0,1,
119628,3/17/2023,1070971,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Masara Village,1,,,,,1,1,,,,0,,,,0,,3,2,,4,2,0,0,
33593,03/06/2023,1030493,Migory County,Nyatike Sub-County,Kachieng Ward,Raga Sub-location,Kanyodieny B Village,1,,,,,0,0,,,,3,,,,0,0,3,3,6,3,3,0,3,0
75090,03/06/2023,1050649,Migory County,Suna East Sub-County,Kwa Ward,Kwa Sub-location,Wiarambe Village,1,,,,,1,0,,,,2,,,,0,0,3,1,4,2,2,0,2,1
101660,3/17/2023,1060768,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamange sub location,Magoto B Village (Nyamange sub location),1,,,,,0,0,,,,1,,,,0,0,2,2,4,3,1,0,1,0
126959,3/17/2023,1070940,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho II Sub-location,Kasam Otieno B Village,1,,,,,0,1,,,,2,,,,0,0,3,3,2,1,1,0,2,1
225961,04/12/2023,2040983,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kodumo West Sub-location,Kolal A Village (Kodumo West Sub-location),1,,,0,0,0,0,,,,0,,,,0,,3,3,,0,2,0,0,
382515,04/12/2023,2030804,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kachola Sub-location,Kochieng Village (Kachola Sub-location),1,,,0,0,1,0,,,,1,,,,0,1,1,1,3,2,2,1,1,1
119526,3/17/2023,1070963,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Arambe A Village,1,,,,,0,0,,,,3,,,,0,0,3,1,6,4,2,0,3,0
94159,03/06/2023,1060793,Migory County,Suna West Sub-County,Wasimbete Ward,Kopanga Sub-location,Boya Village (Kopanga Sub-location),1,,,,,1,0,,,,1,,,,1,0,2,1,3,2,2,0,1,1
5147,03/06/2023,1020302,Migory County,Awendo Sub-County,Central Sakwa Ward,Kombok North  Sub-location,Kokore Village,1,,,,,0,0,,,,2,,,,0,0,2,2,2,1,1,0,2,0
5231,03/06/2023,1020292,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Anding'o Village (Kanyagwala Sub-location),1,,,,,0,0,,,,2,,,,0,0,3,2,3,2,1,0,2,0
23759,3/17/2023,1020396,Migory County,Awendo Sub-County,West Sakwa Ward,Opoya Sub-location,Kabuora Village,0,,2. Locked,1,0,,,,,,2,4,3,0,0,0,4,,4,,,,2,1
241458,04/12/2023,2051206,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,0,1,,,,0,,,,0,,2,2,,2,1,0,0,
172606,04/12/2023,2101581,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Siaga Village,1,,,0,0,1,1,,,,3,,,,0,0,2,2,6,3,3,0,3,2
324345,4/18/2023,2071446,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Kobonyo A Village (Kamenya Sub-location),1,,,0,0,0,0,,,,2,,,,1,0,9,8,2,8,1,0,2,0
